,,,,,시간,00시,00시,01시,01시,02시,02시,03시,03시,04시,04시,05시,05시,06시,06시,07시,07시,08시,08시,09시,09시,10시,10시,11시,11시,12시,12시,13시,13시,14시,14시,15시,15시,16시,16시,17시,17시,18시,18시,19시,19시,20시,20시,21시,21시,22시,22시,23시,23시,합계,합계
가로명,방면,순번(LV2),시작지점,종료지점,분,승용차,버스,승용차,버스,승용차,버스,승용차,버스,승용차,버스,승용차,버스,승용차,버스,승용차,버스,승용차,버스,승용차,버스,승용차,버스,승용차,버스,승용차,버스,승용차,버스,승용차,버스,승용차,버스,승용차,버스,승용차,버스,승용차,버스,승용차,버스,승용차,버스,승용차,버스,승용차,버스,승용차,버스,승용차,버스
가구거리,상행,1,가구삼거리,반구사거리,00분,0,2,0,0,0,0,0,0,0,0,0,0,0,19,0,20,0,26,0,26,0,25,0,30,0,24,0,20,0,22,0,30,0,27,0,20,0,22,0,38,0,26,0,19,0,26,0,25,0,446
가구거리,상행,1,가구삼거리,반구사거리,15분,0,3,0,0,0,0,0,0,0,0,0,2,0,20,0,26,0,23,0,28,0,24,0,29,0,28,0,26,0,24,0,22,0,26,0,34,0,23,0,28,0,24,0,28,0,24,0,12,0,456
가구거리,상행,1,가구삼거리,반구사거리,30분,0,2,0,0,0,0,0,0,0,0,0,6,0,29,0,26,0,22,0,24,0,26,0,30,0,26,0,20,0,24,0,26,0,24,0,20,0,23,0,31,0,28,0,24,0,30,0,7,0,449
가구거리,상행,1,가구삼거리,반구사거리,45분,0,5,0,0,0,0,0,0,0,0,0,16,0,23,0,22,0,27,0,32,0,24,0,22,0,28,0,32,0,31,0,27,0,28,0,24,0,18,0,23,0,29,0,34,0,22,0,6,0,472
가구거리,상행,1,가구삼거리,반구사거리,소계,0,13,0,0,0,0,0,0,0,0,0,24,0,91,0,94,0,98,0,110,0,100,0,111,0,106,0,98,0,101,0,104,0,106,0,98,0,86,0,120,0,106,0,106,0,103,0,50,0,1824
가구거리,상행,계,,,,0,13,0,0,0,0,0,0,0,0,0,24,0,91,0,94,0,98,0,110,0,100,0,111,0,106,0,98,0,101,0,104,0,106,0,98,0,86,0,120,0,106,0,106,0,103,0,50,0,1824
가구거리,하행,1,반구사거리,가구삼거리,00분,0,0,0,0,0,0,0,0,0,0,0,2,0,40,0,34,0,36,0,37,0,34,0,40,0,46,0,32,0,36,0,32,0,34,0,40,0,38,0,27,0,37,0,38,0,26,0,18,0,628
가구거리,하행,1,반구사거리,가구삼거리,15분,0,0,0,0,0,0,0,0,0,2,0,8,0,31,0,36,0,28,0,36,0,32,0,42,0,43,0,40,0,36,0,40,0,34,0,32,0,37,0,50,0,40,0,40,0,38,0,16,0,660
가구거리,하행,1,반구사거리,가구삼거리,30분,0,0,0,0,0,0,0,0,0,0,0,13,0,34,0,38,0,46,0,34,0,44,0,36,0,36,0,33,0,30,0,34,0,41,0,32,0,40,0,42,0,38,0,42,0,29,0,4,0,648
가구거리,하행,1,반구사거리,가구삼거리,45분,0,0,0,0,0,0,0,0,0,2,0,26,0,34,0,38,0,43,0,51,0,34,0,32,0,40,0,46,0,46,0,39,0,42,0,34,0,32,0,44,0,36,0,34,0,44,0,5,0,702
가구거리,하행,1,반구사거리,가구삼거리,소계,0,0,0,0,0,0,0,0,0,4,0,48,0,138,0,146,0,154,0,158,0,144,0,151,0,164,0,152,0,148,0,144,0,152,0,138,0,147,0,162,0,150,0,154,0,136,0,44,0,2637
가구거리,하행,계,,,,0,0,0,0,0,0,0,0,0,4,0,48,0,138,0,146,0,154,0,158,0,144,0,151,0,164,0,152,0,148,0,144,0,152,0,138,0,147,0,162,0,150,0,154,0,136,0,44,0,2637
가구거리,소계,,,,,0,13,0,0,0,0,0,0,0,4,0,72,0,230,0,240,0,252,0,268,0,244,0,262,0,271,0,250,0,250,0,249,0,258,0,236,0,232,0,282,0,257,0,259,0,240,0,94,0,4461
강남로,상행,1,태화R,번영교남교차로,00분,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
강남로,상행,1,태화R,번영교남교차로,15분,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
강남로,상행,1,태화R,번영교남교차로,30분,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
