,,,,,시간,00시,00시,01시,01시,02시,02시,03시,03시,04시,04시,05시,05시,06시,06시,07시,07시,08시,08시,09시,09시,10시,10시,12시,12시,13시,13시,14시,14시,15시,15시,16시,16시,17시,17시,18시,18시,19시,19시,20시,20시,21시,21시,22시,22시,23시,23시,합계,합계
가로명,방면,순번(LV2),시작지점,종료지점,분,승용차,버스,승용차,버스,승용차,버스,승용차,버스,승용차,버스,승용차,버스,승용차,버스,승용차,버스,승용차,버스,승용차,버스,승용차,버스,승용차,버스,승용차,버스,승용차,버스,승용차,버스,승용차,버스,승용차,버스,승용차,버스,승용차,버스,승용차,버스,승용차,버스,승용차,버스,승용차,버스,승용차,버스
강남로,상행,1,태화R,번영교남교차로,00분,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
강남로,상행,1,태화R,번영교남교차로,15분,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
강남로,상행,1,태화R,번영교남교차로,30분,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
강남로,상행,1,태화R,번영교남교차로,45분,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
강남로,상행,1,태화R,번영교남교차로,소계,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
강남로,상행,2,번영교남교차로,학성교남교차로,00분,126,0,126,0,118,0,107,0,107,0,107,0,107,0,107,0,118,0,96,0,96,0,-,-,107,0,118,0,107,0,129,0,129,0,118,0,118,0,107,0,96,0,129,0,118,0,2491,0
강남로,상행,2,번영교남교차로,학성교남교차로,15분,126,0,123,0,107,0,118,0,107,0,118,0,107,0,118,0,96,0,96,0,129,0,-,-,118,0,129,0,96,0,96,0,129,0,107,0,96,0,118,0,107,0,96,0,96,0,2433,0
강남로,상행,2,번영교남교차로,학성교남교차로,30분,123,0,126,0,107,0,118,0,118,0,107,0,118,0,107,0,118,0,118,0,-,-,-,-,96,0,118,0,107,0,118,0,107,0,107,0,118,0,118,0,107,0,118,0,107,0,2381,0
강남로,상행,2,번영교남교차로,학성교남교차로,45분,120,0,118,0,107,0,107,0,129,0,96,0,107,0,107,0,107,0,107,0,-,-,118,0,118,0,118,0,107,0,107,0,107,0,107,0,107,0,96,0,96,0,107,0,129,0,2422,0
