,,,,,시간,00시,00시,01시,01시,02시,02시,03시,03시,04시,04시,05시,05시,06시,06시,07시,07시,08시,08시,09시,09시,10시,10시,11시,11시,12시,12시,13시,13시,14시,14시,15시,15시,16시,16시,17시,17시,18시,18시,19시,19시,20시,20시,21시,21시,22시,22시,23시,23시,합계,합계
가로명,방면,순번(LV2),시작지점,종료지점,분,승용차,버스,승용차,버스,승용차,버스,승용차,버스,승용차,버스,승용차,버스,승용차,버스,승용차,버스,승용차,버스,승용차,버스,승용차,버스,승용차,버스,승용차,버스,승용차,버스,승용차,버스,승용차,버스,승용차,버스,승용차,버스,승용차,버스,승용차,버스,승용차,버스,승용차,버스,승용차,버스,승용차,버스,승용차,버스
가구거리,상행,1,가구삼거리,반구사거리,00분,0,7,0,1,0,0,0,0,0,0,0,0,0,19,0,15,0,19,0,17,0,41,0,32,0,21,0,16,0,23,0,15,0,20,0,26,0,21,0,14,0,29,0,15,0,20,0,26,0,397
가구거리,상행,1,가구삼거리,반구사거리,15분,0,4,0,0,0,0,0,0,0,0,0,4,0,18,0,27,0,16,0,26,0,23,0,18,0,23,0,13,0,17,0,13,0,27,0,20,0,30,0,23,0,24,0,33,0,26,0,11,0,396
가구거리,상행,1,가구삼거리,반구사거리,30분,0,4,0,0,0,0,0,0,0,0,0,5,0,27,0,23,0,31,0,27,0,20,0,26,0,32,0,11,0,20,0,35,0,35,0,36,0,23,0,26,0,28,0,16,0,41,0,9,0,475
가구거리,상행,1,가구삼거리,반구사거리,45분,0,6,0,0,0,0,0,0,0,0,0,11,0,20,0,25,0,30,0,12,0,20,0,32,0,25,0,31,0,29,0,29,0,17,0,16,0,29,0,30,0,13,0,19,0,24,0,10,0,428
가구거리,상행,1,가구삼거리,반구사거리,소계,0,21,0,1,0,0,0,0,0,0,0,20,0,84,0,90,0,96,0,82,0,104,0,108,0,101,0,71,0,89,0,92,0,99,0,98,0,103,0,93,0,94,0,83,0,111,0,56,0,1696
가구거리,상행,계,,,,0,21,0,1,0,0,0,0,0,0,0,20,0,84,0,90,0,96,0,82,0,104,0,108,0,101,0,71,0,89,0,92,0,99,0,98,0,103,0,93,0,94,0,83,0,111,0,56,0,1696
가구거리,하행,1,반구사거리,가구삼거리,00분,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,20,0,26,0,33,0,37,0,43,0,27,0,26,0,33,0,20,0,20,0,38,0,34,0,36,0,37,0,39,0,32,0,19,0,558
가구거리,하행,1,반구사거리,가구삼거리,15분,0,0,0,0,0,0,0,0,0,3,0,10,0,34,0,31,0,23,0,28,0,41,0,16,0,50,0,27,0,24,0,28,0,45,0,23,0,30,0,17,0,24,0,35,0,30,0,13,0,532
가구거리,하행,1,반구사거리,가구삼거리,30분,0,0,0,0,0,0,0,0,0,0,0,6,0,27,0,30,0,47,0,39,0,20,0,39,0,38,0,15,0,29,0,45,0,31,0,42,0,21,0,54,0,36,0,21,0,42,0,4,0,586
가구거리,하행,1,반구사거리,가구삼거리,45분,0,0,0,0,0,0,0,0,0,0,0,20,0,28,0,36,0,44,0,26,0,27,0,39,0,27,0,51,0,44,0,42,0,25,0,18,0,48,0,32,0,16,0,19,0,45,0,0,0,587
가구거리,하행,1,반구사거리,가구삼거리,소계,0,0,0,0,0,0,0,0,0,3,0,36,0,127,0,117,0,140,0,126,0,125,0,137,0,142,0,119,0,130,0,135,0,121,0,121,0,133,0,139,0,113,0,114,0,149,0,36,0,2263
가구거리,하행,계,,,,0,0,0,0,0,0,0,0,0,3,0,36,0,127,0,117,0,140,0,126,0,125,0,137,0,142,0,119,0,130,0,135,0,121,0,121,0,133,0,139,0,113,0,114,0,149,0,36,0,2263
가구거리,소계,,,,,0,21,0,1,0,0,0,0,0,3,0,56,0,211,0,207,0,236,0,208,0,229,0,245,0,243,0,190,0,219,0,227,0,220,0,219,0,236,0,232,0,207,0,197,0,260,0,92,0,3959
강남로,상행,1,태화R,번영교남교차로,00분,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
강남로,상행,1,태화R,번영교남교차로,15분,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
강남로,상행,1,태화R,번영교남교차로,30분,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
강남로,상행,1,태화R,번영교남교차로,45분,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
강남로,상행,1,태화R,번영교남교차로,소계,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
강남로,상행,2,번영교남교차로,학성교남교차로,00분,187,0,169,0,138,0,105,0,132,0,118,0,237,0,241,0,195,0,350,0,408,0,372,0,459,0,425,0,357,0,393,0,410,0,455,0,365,0,375,0,366,0,308,0,269,0,253,0,7087,0
강남로,상행,2,번영교남교차로,학성교남교차로,15분,323,0,222,0,134,0,110,0,118,0,131,0,194,0,224,0,277,0,407,0,404,0,464,0,412,0,429,0,468,0,352,0,375,0,416,0,448,0,339,0,360,0,369,0,238,0,198,0,7412,0
강남로,상행,2,번영교남교차로,학성교남교차로,30분,279,0,142,0,115,0,91,0,82,0,182,0,222,0,214,0,286,0,381,0,368,0,504,0,504,0,432,0,359,0,396,0,428,0,374,0,311,0,352,0,405,0,284,0,235,0,157,0,7103,0
강남로,상행,2,번영교남교차로,학성교남교차로,45분,255,0,134,0,106,0,90,0,92,0,192,0,212,0,223,0,288,0,367,0,419,0,462,0,379,0,466,0,423,0,368,0,395,0,423,0,296,0,298,0,404,0,319,0,231,0,216,0,7058,0
강남로,상행,2,번영교남교차로,학성교남교차로,소계,1044,0,667,0,493,0,396,0,424,0,623,0,865,0,902,0,1046,0,1505,0,1599,0,1802,0,1754,0,1752,0,1607,0,1509,0,1608,0,1668,0,1420,0,1364,0,1535,0,1280,0,973,0,824,0,28660,0
강남로,상행,3,학성교남교차로,명촌교남단,00분,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
강남로,상행,3,학성교남교차로,명촌교남단,15분,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
강남로,상행,3,학성교남교차로,명촌교남단,30분,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
강남로,상행,3,학성교남교차로,명촌교남단,45분,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
강남로,상행,3,학성교남교차로,명촌교남단,소계,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
강남로,상행,계,,,,1044,0,667,0,493,0,396,0,424,0,623,0,865,0,902,0,1046,0,1505,0,1599,0,1802,0,1754,0,1752,0,1607,0,1509,0,1608,0,1668,0,1420,0,1364,0,1535,0,1280,0,973,0,824,0,28660,0
강남로,하행,1,명촌교남단,학성교남교차로,00분,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,5
