,,,,,시간,00시,00시,01시,01시,02시,02시,03시,03시,04시,04시,05시,05시,06시,06시,07시,07시,08시,08시,09시,09시,10시,10시,11시,11시,12시,12시,13시,13시,14시,14시,15시,15시,16시,16시,17시,17시,18시,18시,19시,19시,20시,20시,21시,21시,22시,22시,23시,23시,합계,합계
가로명,방면,순번(LV2),시작지점,종료지점,분,승용차,버스,승용차,버스,승용차,버스,승용차,버스,승용차,버스,승용차,버스,승용차,버스,승용차,버스,승용차,버스,승용차,버스,승용차,버스,승용차,버스,승용차,버스,승용차,버스,승용차,버스,승용차,버스,승용차,버스,승용차,버스,승용차,버스,승용차,버스,승용차,버스,승용차,버스,승용차,버스,승용차,버스,승용차,버스
가구거리,상행,1,가구삼거리,반구사거리,00분,0,4,0,0,0,0,0,0,0,0,0,0,0,14,0,24,0,26,0,20,0,31,0,22,0,23,0,20,0,18,0,28,0,24,0,20,0,20,0,29,0,24,0,23,0,26,0,21,0,420
가구거리,상행,1,가구삼거리,반구사거리,15분,0,1,0,0,0,0,0,0,0,0,0,2,0,22,0,26,0,24,0,24,0,22,0,27,0,26,0,29,0,23,0,26,0,20,0,30,0,25,0,22,0,28,0,28,0,22,0,13,0,440
가구거리,상행,1,가구삼거리,반구사거리,30분,0,2,0,0,0,0,0,0,0,0,0,4,0,22,0,24,0,20,0,22,0,29,0,28,0,28,0,22,0,26,0,20,0,20,0,22,0,26,0,26,0,28,0,24,0,28,0,8,0,431
가구거리,상행,1,가구삼거리,반구사거리,45분,0,4,0,0,0,0,0,0,0,0,0,18,0,24,0,20,0,31,0,21,0,30,0,22,0,25,0,29,0,28,0,28,0,28,0,22,0,22,0,27,0,24,0,28,0,22,0,5,0,458
가구거리,상행,1,가구삼거리,반구사거리,소계,0,12,0,0,0,0,0,0,0,0,0,24,0,82,0,93,0,102,0,88,0,112,0,100,0,102,0,100,0,96,0,102,0,93,0,94,0,94,0,104,0,103,0,103,0,99,0,47,0,1748
가구거리,상행,계,,,,0,12,0,0,0,0,0,0,0,0,0,24,0,82,0,93,0,102,0,88,0,112,0,100,0,102,0,100,0,96,0,102,0,93,0,94,0,94,0,104,0,103,0,103,0,99,0,47,0,1748
가구거리,하행,1,반구사거리,가구삼거리,00분,0,0,0,0,0,0,0,0,0,0,0,2,0,36,0,30,0,37,0,40,0,34,0,44,0,46,0,30,0,34,0,32,0,44,0,45,0,30,0,40,0,30,0,38,0,33,0,21,0,644
가구거리,하행,1,반구사거리,가구삼거리,15분,0,0,0,0,0,0,0,0,0,1,0,6,0,35,0,32,0,27,0,42,0,34,0,33,0,43,0,48,0,31,0,36,0,41,0,27,0,38,0,36,0,41,0,36,0,31,0,12,0,628
가구거리,하행,1,반구사거리,가구삼거리,30분,0,0,0,0,0,0,0,0,0,1,0,13,0,32,0,32,0,38,0,28,0,40,0,32,0,32,0,32,0,34,0,44,0,26,0,26,0,36,0,34,0,42,0,34,0,31,0,6,0,594
가구거리,하행,1,반구사거리,가구삼거리,45분,0,0,0,0,0,0,0,0,0,2,0,22,0,34,0,40,0,40,0,45,0,30,0,31,0,32,0,47,0,40,0,26,0,38,0,44,0,36,0,46,0,33,0,36,0,39,0,2,0,664
가구거리,하행,1,반구사거리,가구삼거리,소계,0,0,0,0,0,0,0,0,0,4,0,43,0,138,0,132,0,142,0,154,0,138,0,140,0,152,0,157,0,140,0,136,0,149,0,142,0,140,0,156,0,146,0,144,0,134,0,41,0,2530
가구거리,하행,계,,,,0,0,0,0,0,0,0,0,0,4,0,43,0,138,0,132,0,142,0,154,0,138,0,140,0,152,0,157,0,140,0,136,0,149,0,142,0,140,0,156,0,146,0,144,0,134,0,41,0,2530
가구거리,소계,,,,,0,12,0,0,0,0,0,0,0,4,0,67,0,220,0,226,0,244,0,242,0,250,0,240,0,254,0,258,0,236,0,238,0,242,0,235,0,234,0,261,0,249,0,247,0,233,0,88,0,4278
강남로,상행,1,태화R,번영교남교차로,00분,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
강남로,상행,1,태화R,번영교남교차로,15분,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
강남로,상행,1,태화R,번영교남교차로,30분,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
강남로,상행,1,태화R,번영교남교차로,45분,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
강남로,상행,1,태화R,번영교남교차로,소계,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
강남로,상행,2,번영교남교차로,학성교남교차로,00분,151,0,114,0,93,0,70,0,57,0,87,0,286,0,356,0,344,0,397,0,373,0,382,0,460,0,512,0,510,0,589,0,556,0,562,0,463,0,471,0,350,0,264,0,316,0,207,0,7970,0
강남로,상행,2,번영교남교차로,학성교남교차로,15분,236,0,106,0,78,0,74,0,71,0,118,0,278,0,333,0,368,0,364,0,403,0,381,0,447,0,493,0,537,0,506,0,571,0,590,0,492,0,442,0,336,0,305,0,261,0,232,0,8022,0
강남로,상행,2,번영교남교차로,학성교남교차로,30분,176,0,102,0,76,0,71,0,76,0,156,0,274,0,368,0,406,0,366,0,379,0,423,0,451,0,484,0,533,0,575,0,516,0,542,0,474,0,396,0,305,0,262,0,233,0,168,0,7811,0
강남로,상행,2,번영교남교차로,학성교남교차로,45분,165,0,109,0,74,0,72,0,96,0,174,0,286,0,364,0,400,0,388,0,422,0,382,0,448,0,502,0,514,0,577,0,584,0,544,0,435,0,340,0,308,0,280,0,196,0,180,0,7841,0
강남로,상행,2,번영교남교차로,학성교남교차로,소계,729,0,431,0,322,0,286,0,300,0,534,0,1124,0,1420,0,1518,0,1516,0,1578,0,1568,0,1806,0,1991,0,2094,0,2248,0,2227,0,2236,0,1864,0,1649,0,1299,0,1112,0,1006,0,786,0,31644,0
