,,,,,시간,00시,00시,01시,01시,02시,02시,03시,03시,04시,04시,05시,05시,06시,06시,07시,07시,08시,08시,09시,09시,10시,10시,11시,11시,12시,12시,13시,13시,14시,14시,15시,15시,16시,16시,17시,17시,18시,18시,19시,19시,20시,20시,21시,21시,22시,22시,23시,23시,합계,합계
가로명,방면,순번(LV2),시작지점,종료지점,분,승용차,버스,승용차,버스,승용차,버스,승용차,버스,승용차,버스,승용차,버스,승용차,버스,승용차,버스,승용차,버스,승용차,버스,승용차,버스,승용차,버스,승용차,버스,승용차,버스,승용차,버스,승용차,버스,승용차,버스,승용차,버스,승용차,버스,승용차,버스,승용차,버스,승용차,버스,승용차,버스,승용차,버스,승용차,버스
가구거리,상행,1,가구삼거리,반구사거리,00분,0,6,0,2,0,0,0,0,0,0,0,0,0,14,0,18,0,16,0,18,0,16,0,19,0,18,0,18,0,16,0,19,0,16,0,16,0,17,0,17,0,16,0,18,0,15,0,15,0,310
가구거리,상행,1,가구삼거리,반구사거리,15분,0,5,0,0,0,0,0,0,0,0,0,0,0,14,0,17,0,16,0,18,0,18,0,17,0,16,0,18,0,18,0,17,0,14,0,18,0,16,0,20,0,18,0,18,0,18,0,15,0,312
가구거리,상행,1,가구삼거리,반구사거리,30분,0,4,0,0,0,0,0,0,0,0,0,8,0,17,0,17,0,17,0,16,0,18,0,20,0,18,0,16,0,18,0,19,0,18,0,16,0,16,0,17,0,18,0,18,0,18,0,14,0,321
가구거리,상행,1,가구삼거리,반구사거리,45분,0,6,0,0,0,0,0,0,0,0,0,14,0,14,0,15,0,18,0,16,0,16,0,16,0,18,0,18,0,18,0,16,0,18,0,16,0,16,0,20,0,18,0,19,0,18,0,5,0,314
가구거리,상행,1,가구삼거리,반구사거리,소계,0,20,0,2,0,0,0,0,0,0,0,22,0,59,0,66,0,67,0,68,0,68,0,72,0,70,0,69,0,68,0,72,0,66,0,66,0,66,0,74,0,70,0,74,0,68,0,49,0,1256
가구거리,상행,계,,,,0,20,0,2,0,0,0,0,0,0,0,22,0,59,0,66,0,67,0,68,0,68,0,72,0,70,0,69,0,68,0,72,0,66,0,66,0,66,0,74,0,70,0,74,0,68,0,49,0,1256
가구거리,하행,1,반구사거리,가구삼거리,00분,0,0,0,0,0,0,0,0,0,0,0,2,0,20,0,19,0,20,0,20,0,20,0,18,0,19,0,20,0,20,0,20,0,18,0,20,0,21,0,20,0,20,0,20,0,18,0,18,0,356
가구거리,하행,1,반구사거리,가구삼거리,15분,0,0,0,0,0,0,0,0,0,0,0,6,0,19,0,20,0,21,0,20,0,20,0,21,0,22,0,20,0,20,0,20,0,19,0,20,0,19,0,20,0,20,0,20,0,19,0,15,0,361
가구거리,하행,1,반구사거리,가구삼거리,30분,0,0,0,0,0,0,0,0,0,2,0,12,0,20,0,20,0,20,0,20,0,21,0,20,0,21,0,22,0,22,0,21,0,18,0,17,0,20,0,20,0,18,0,21,0,20,0,6,0,359
가구거리,하행,1,반구사거리,가구삼거리,45분,0,0,0,0,0,0,0,0,0,2,0,15,0,21,0,20,0,20,0,20,0,21,0,20,0,20,0,20,0,19,0,21,0,20,0,19,0,20,0,21,0,18,0,20,0,20,0,6,0,362
가구거리,하행,1,반구사거리,가구삼거리,소계,0,0,0,0,0,0,0,0,0,4,0,35,0,80,0,80,0,80,0,80,0,83,0,79,0,82,0,82,0,80,0,82,0,76,0,76,0,80,0,82,0,76,0,81,0,78,0,44,0,1438
가구거리,하행,계,,,,0,0,0,0,0,0,0,0,0,4,0,35,0,80,0,80,0,80,0,80,0,83,0,79,0,82,0,82,0,80,0,82,0,76,0,76,0,80,0,82,0,76,0,81,0,78,0,44,0,1438
가구거리,소계,,,,,0,20,0,2,0,0,0,0,0,4,0,57,0,139,0,146,0,147,0,148,0,152,0,150,0,152,0,150,0,148,0,154,0,142,0,143,0,146,0,156,0,146,0,154,0,146,0,94,0,2695
강남로,상행,1,태화R,번영교남교차로,00분,248,0,297,0,248,0,198,0,248,0,297,0,297,0,297,0,297,0,297,0,297,0,297,0,297,0,297,0,297,0,297,0,297,0,297,0,297,0,297,0,297,0,297,0,297,0,297,0,6880,0
강남로,상행,1,태화R,번영교남교차로,15분,297,0,297,0,297,0,248,0,297,0,297,0,297,0,297,0,297,0,297,0,297,0,297,0,297,0,297,0,297,0,297,0,297,0,297,0,297,0,297,0,297,0,297,0,297,0,297,0,7078,0
강남로,상행,1,태화R,번영교남교차로,30분,297,0,297,0,198,0,248,0,248,0,248,0,297,0,297,0,297,0,297,0,297,0,297,0,297,0,297,0,297,0,297,0,297,0,297,0,297,0,297,0,297,0,297,0,297,0,297,0,6880,0
강남로,상행,1,태화R,번영교남교차로,45분,297,0,198,0,198,0,297,0,248,0,297,0,297,0,297,0,297,0,297,0,297,0,297,0,297,0,297,0,297,0,297,0,297,0,297,0,297,0,297,0,297,0,297,0,297,0,198,0,6782,0
강남로,상행,1,태화R,번영교남교차로,소계,1138,0,1089,0,940,0,990,0,1040,0,1138,0,1188,0,1188,0,1188,0,1188,0,1188,0,1188,0,1188,0,1188,0,1188,0,1188,0,1188,0,1188,0,1188,0,1188,0,1188,0,1188,0,1188,0,1089,0,27621,0
강남로,상행,2,번영교남교차로,학성교남교차로,00분,210,0,252,0,210,0,168,0,210,0,252,0,252,0,252,0,252,0,252,0,252,0,252,0,252,0,252,0,252,0,252,0,252,0,252,0,252,0,252,0,252,0,252,0,252,0,252,0,5838,0
강남로,상행,2,번영교남교차로,학성교남교차로,15분,252,0,252,0,252,0,210,0,252,0,252,0,252,0,252,0,252,0,252,0,252,0,252,0,252,0,252,0,252,0,252,0,252,0,252,0,252,0,252,0,252,0,252,0,252,0,252,0,6006,0
