,,,,,시간,00시,00시,01시,01시,02시,02시,03시,03시,04시,04시,05시,05시,06시,06시,07시,07시,08시,08시,09시,09시,10시,10시,11시,11시,12시,12시,13시,13시,14시,14시,15시,15시,16시,16시,17시,17시,18시,18시,19시,19시,20시,20시,21시,21시,22시,22시,23시,23시,합계,합계
가로명,방면,순번(LV2),시작지점,종료지점,분,승용차,버스,승용차,버스,승용차,버스,승용차,버스,승용차,버스,승용차,버스,승용차,버스,승용차,버스,승용차,버스,승용차,버스,승용차,버스,승용차,버스,승용차,버스,승용차,버스,승용차,버스,승용차,버스,승용차,버스,승용차,버스,승용차,버스,승용차,버스,승용차,버스,승용차,버스,승용차,버스,승용차,버스,승용차,버스
가구거리,상행,1,가구삼거리,반구사거리,00분,0,3,0,5,0,0,0,0,0,0,0,0,0,15,0,14,0,16,0,17,0,20,0,18,0,18,0,15,0,15,0,19,0,17,0,15,0,16,0,16,0,17,0,17,0,17,0,19,0,309
가구거리,상행,1,가구삼거리,반구사거리,15분,0,5,0,0,0,0,0,0,0,0,0,2,0,14,0,17,0,16,0,20,0,16,0,17,0,17,0,18,0,18,0,16,0,15,0,18,0,14,0,16,0,16,0,19,0,19,0,12,0,305
가구거리,상행,1,가구삼거리,반구사거리,30분,0,5,0,0,0,0,0,0,0,0,0,9,0,17,0,17,0,19,0,14,0,15,0,19,0,16,0,19,0,15,0,18,0,17,0,17,0,18,0,20,0,18,0,16,0,16,0,14,0,319
가구거리,상행,1,가구삼거리,반구사거리,45분,0,5,0,0,0,0,0,0,0,0,0,14,0,19,0,15,0,16,0,19,0,18,0,17,0,18,0,17,0,20,0,19,0,18,0,18,0,19,0,16,0,17,0,17,0,16,0,8,0,326
가구거리,상행,1,가구삼거리,반구사거리,소계,0,18,0,5,0,0,0,0,0,0,0,25,0,65,0,63,0,67,0,70,0,69,0,71,0,69,0,69,0,68,0,72,0,67,0,68,0,67,0,68,0,68,0,69,0,68,0,53,0,1259
가구거리,상행,계,,,,0,18,0,5,0,0,0,0,0,0,0,25,0,65,0,63,0,67,0,70,0,69,0,71,0,69,0,69,0,68,0,72,0,67,0,68,0,67,0,68,0,68,0,69,0,68,0,53,0,1259
가구거리,하행,1,반구사거리,가구삼거리,00분,0,0,0,0,0,0,0,0,0,0,0,1,0,21,0,18,0,21,0,21,0,22,0,21,0,20,0,21,0,20,0,19,0,18,0,19,0,21,0,18,0,21,0,21,0,21,0,20,0,364
가구거리,하행,1,반구사거리,가구삼거리,15분,0,0,0,0,0,0,0,0,0,0,0,9,0,21,0,20,0,20,0,19,0,18,0,19,0,20,0,19,0,20,0,19,0,19,0,21,0,20,0,20,0,21,0,20,0,19,0,16,0,360
가구거리,하행,1,반구사거리,가구삼거리,30분,0,0,0,0,0,0,0,0,0,2,0,15,0,18,0,20,0,18,0,18,0,22,0,20,0,19,0,21,0,20,0,20,0,20,0,22,0,20,0,21,0,20,0,20,0,20,0,6,0,362
가구거리,하행,1,반구사거리,가구삼거리,45분,0,0,0,0,0,0,0,0,0,2,0,19,0,21,0,20,0,20,0,20,0,20,0,16,0,20,0,21,0,20,0,22,0,22,0,20,0,19,0,19,0,19,0,21,0,21,0,6,0,368
가구거리,하행,1,반구사거리,가구삼거리,소계,0,0,0,0,0,0,0,0,0,4,0,44,0,81,0,78,0,79,0,78,0,82,0,76,0,79,0,82,0,80,0,80,0,79,0,82,0,80,0,78,0,81,0,82,0,81,0,48,0,1454
가구거리,하행,계,,,,0,0,0,0,0,0,0,0,0,4,0,44,0,81,0,78,0,79,0,78,0,82,0,76,0,79,0,82,0,80,0,80,0,79,0,82,0,80,0,78,0,81,0,82,0,81,0,48,0,1454
가구거리,소계,,,,,0,18,0,5,0,0,0,0,0,4,0,69,0,146,0,141,0,146,0,148,0,151,0,147,0,148,0,151,0,148,0,152,0,146,0,150,0,147,0,146,0,149,0,151,0,149,0,101,0,2713
강남로,상행,1,태화R,번영교남교차로,00분,99,0,95,0,58,0,42,0,64,0,162,0,324,0,478,0,608,0,541,0,442,0,384,0,346,0,378,0,341,0,326,0,348,0,344,0,323,0,327,0,293,0,228,0,256,0,163,0,6970,0
강남로,상행,1,태화R,번영교남교차로,15분,116,0,101,0,57,0,57,0,56,0,145,0,397,0,591,0,627,0,493,0,337,0,365,0,379,0,335,0,410,0,347,0,341,0,332,0,351,0,324,0,260,0,245,0,214,0,163,0,7043,0
강남로,상행,1,태화R,번영교남교차로,30분,91,0,108,0,50,0,57,0,80,0,204,0,505,0,600,0,659,0,445,0,364,0,380,0,389,0,417,0,383,0,317,0,360,0,324,0,303,0,324,0,266,0,235,0,226,0,132,0,7219,0
강남로,상행,1,태화R,번영교남교차로,45분,86,0,95,0,42,0,51,0,148,0,270,0,470,0,565,0,593,0,373,0,380,0,422,0,393,0,370,0,409,0,362,0,274,0,363,0,372,0,359,0,241,0,252,0,184,0,133,0,7207,0
강남로,상행,1,태화R,번영교남교차로,소계,392,0,399,0,207,0,207,0,348,0,781,0,1696,0,2234,0,2487,0,1852,0,1523,0,1551,0,1507,0,1500,0,1543,0,1352,0,1323,0,1363,0,1349,0,1334,0,1060,0,960,0,880,0,591,0,28439,0
강남로,상행,2,번영교남교차로,학성교남교차로,00분,134,0,197,0,85,0,85,0,80,0,108,0,362,0,488,0,417,0,354,0,302,0,422,0,342,0,363,0,323,0,173,0,126,0,136,0,218,0,354,0,330,0,285,0,294,0,188,0,6166,0
강남로,상행,2,번영교남교차로,학성교남교차로,15분,211,0,106,0,78,0,59,0,82,0,125,0,342,0,453,0,459,0,409,0,325,0,368,0,383,0,333,0,321,0,199,0,126,0,177,0,245,0,368,0,295,0,322,0,282,0,161,0,6229,0
강남로,상행,2,번영교남교차로,학성교남교차로,30분,230,0,81,0,74,0,67,0,106,0,214,0,385,0,522,0,464,0,301,0,347,0,286,0,372,0,261,0,271,0,142,0,138,0,234,0,258,0,328,0,276,0,299,0,318,0,197,0,6171,0
강남로,상행,2,번영교남교차로,학성교남교차로,45분,257,0,86,0,63,0,83,0,104,0,246,0,476,0,542,0,387,0,309,0,336,0,285,0,328,0,239,0,258,0,148,0,144,0,217,0,302,0,325,0,341,0,325,0,206,0,182,0,6189,0
강남로,상행,2,번영교남교차로,학성교남교차로,소계,832,0,470,0,300,0,294,0,372,0,693,0,1565,0,2005,0,1727,0,1373,0,1310,0,1361,0,1425,0,1196,0,1173,0,662,0,534,0,764,0,1023,0,1375,0,1242,0,1231,0,1100,0,728,0,24755,0
강남로,상행,3,학성교남교차로,명촌교남단,00분,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,12
강남로,상행,3,학성교남교차로,명촌교남단,15분,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
강남로,상행,3,학성교남교차로,명촌교남단,30분,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,11
강남로,상행,3,학성교남교차로,명촌교남단,45분,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
강남로,상행,3,학성교남교차로,명촌교남단,소계,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,1,0,2,0,1,0,0,0,2,0,1,0,0,0,0,0,0,0,23
강남로,상행,계,,,,1224,0,869,0,507,0,501,0,720,0,1474,0,3261,0,4239,2,4214,2,3225,2,2833,2,2912,2,2932,2,2696,2,2716,2,2014,1,1857,2,2127,1,2372,0,2709,2,2302,1,2191,0,1980,0,1319,0,53194,23
강남로,하행,1,명촌교남단,학성교남교차로,00분,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,7
강남로,하행,1,명촌교남단,학성교남교차로,15분,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2
강남로,하행,1,명촌교남단,학성교남교차로,30분,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,7
강남로,하행,1,명촌교남단,학성교남교차로,45분,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,9
강남로,하행,1,명촌교남단,학성교남교차로,소계,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,2,0,3,0,3,0,3,0,2,0,1,0,1,0,2,0,2,0,1,0,2,0,0,0,0,0,0,0,0,0,25
