,,,,,시간,00시,00시,01시,01시,02시,02시,03시,03시,04시,04시,05시,05시,06시,06시,07시,07시,08시,08시,09시,09시,10시,10시,11시,11시,12시,12시,13시,13시,14시,14시,15시,15시,16시,16시,17시,17시,18시,18시,19시,19시,20시,20시,21시,21시,22시,22시,23시,23시,합계,합계
가로명,방면,순번(LV2),시작지점,종료지점,분,승용차,버스,승용차,버스,승용차,버스,승용차,버스,승용차,버스,승용차,버스,승용차,버스,승용차,버스,승용차,버스,승용차,버스,승용차,버스,승용차,버스,승용차,버스,승용차,버스,승용차,버스,승용차,버스,승용차,버스,승용차,버스,승용차,버스,승용차,버스,승용차,버스,승용차,버스,승용차,버스,승용차,버스,승용차,버스
가구거리,상행,1,가구삼거리,반구사거리,00분,0,6,0,0,0,0,0,0,0,0,0,0,0,15,0,18,0,17,0,18,0,18,0,18,0,17,0,18,0,16,0,16,0,18,0,14,0,16,0,18,0,16,0,18,0,17,0,16,0,310
가구거리,상행,1,가구삼거리,반구사거리,15분,0,6,0,0,0,0,0,0,0,0,0,4,0,14,0,16,0,15,0,18,0,17,0,16,0,18,0,18,0,18,0,18,0,16,0,17,0,18,0,19,0,17,0,14,0,18,0,14,0,312
가구거리,상행,1,가구삼거리,반구사거리,30분,0,2,0,0,0,0,0,0,0,0,0,6,0,16,0,18,0,18,0,16,0,18,0,17,0,18,0,14,0,18,0,18,0,18,0,17,0,16,0,20,0,17,0,18,0,16,0,13,0,314
가구거리,상행,1,가구삼거리,반구사거리,45분,0,6,0,0,0,0,0,0,0,0,0,14,0,15,0,14,0,18,0,20,0,18,0,16,0,18,0,19,0,16,0,16,0,17,0,18,0,18,0,16,0,17,0,18,0,19,0,6,0,320
가구거리,상행,1,가구삼거리,반구사거리,소계,0,21,0,0,0,0,0,0,0,0,0,24,0,60,0,66,0,68,0,71,0,71,0,68,0,71,0,68,0,69,0,67,0,69,0,66,0,67,0,72,0,66,0,70,0,71,0,50,0,1256
가구거리,상행,계,,,,0,21,0,0,0,0,0,0,0,0,0,24,0,60,0,66,0,68,0,71,0,71,0,68,0,71,0,68,0,69,0,67,0,69,0,66,0,67,0,72,0,66,0,70,0,71,0,50,0,1256
가구거리,하행,1,반구사거리,가구삼거리,00분,0,0,0,0,0,0,0,0,0,0,0,4,0,20,0,20,0,20,0,21,0,21,0,20,0,20,0,20,0,19,0,21,0,20,0,18,0,20,0,22,0,20,0,18,0,18,0,18,0,360
가구거리,하행,1,반구사거리,가구삼거리,15분,0,0,0,0,0,0,0,0,0,0,0,6,0,19,0,20,0,21,0,20,0,20,0,20,0,21,0,20,0,19,0,20,0,20,0,21,0,20,0,20,0,21,0,20,0,20,0,15,0,360
가구거리,하행,1,반구사거리,가구삼거리,30분,0,0,0,0,0,0,0,0,0,2,0,13,0,19,0,20,0,20,0,21,0,20,0,20,0,19,0,18,0,20,0,20,0,18,0,18,0,19,0,20,0,16,0,20,0,20,0,10,0,352
가구거리,하행,1,반구사거리,가구삼거리,45분,0,0,0,0,0,0,0,0,0,2,0,18,0,20,0,21,0,20,0,19,0,22,0,18,0,19,0,20,0,20,0,20,0,22,0,21,0,20,0,22,0,20,0,20,0,19,0,6,0,370
가구거리,하행,1,반구사거리,가구삼거리,소계,0,0,0,0,0,0,0,0,0,4,0,42,0,78,0,80,0,82,0,80,0,82,0,80,0,79,0,79,0,77,0,81,0,79,0,78,0,79,0,82,0,77,0,78,0,77,0,48,0,1442
가구거리,하행,계,,,,0,0,0,0,0,0,0,0,0,4,0,42,0,78,0,80,0,82,0,80,0,82,0,80,0,79,0,79,0,77,0,81,0,79,0,78,0,79,0,82,0,77,0,78,0,77,0,48,0,1442
가구거리,소계,,,,,0,21,0,0,0,0,0,0,0,4,0,66,0,138,0,146,0,150,0,152,0,154,0,148,0,150,0,148,0,146,0,148,0,148,0,144,0,146,0,155,0,144,0,148,0,148,0,99,0,2699
강남로,상행,1,태화R,번영교남교차로,00분,128,0,64,0,71,0,36,0,54,0,95,0,348,0,520,0,647,0,518,0,488,0,344,0,366,0,362,0,416,0,345,0,368,0,337,0,376,0,322,0,272,0,234,0,204,0,138,0,7052,0
강남로,상행,1,태화R,번영교남교차로,15분,120,0,74,0,54,0,44,0,63,0,144,0,408,0,534,0,640,0,542,0,377,0,432,0,360,0,324,0,370,0,370,0,352,0,330,0,400,0,310,0,204,0,224,0,262,0,150,0,7088,0
강남로,상행,1,태화R,번영교남교차로,30분,95,0,74,0,52,0,52,0,81,0,218,0,459,0,578,0,637,0,464,0,450,0,342,0,356,0,436,0,406,0,338,0,332,0,335,0,384,0,277,0,222,0,231,0,208,0,150,0,7176,0
강남로,상행,1,태화R,번영교남교차로,45분,70,0,72,0,56,0,60,0,112,0,243,0,524,0,557,0,578,0,448,0,394,0,394,0,356,0,364,0,366,0,356,0,345,0,370,0,418,0,286,0,250,0,239,0,138,0,130,0,7124,0
강남로,상행,1,태화R,번영교남교차로,소계,413,0,284,0,234,0,192,0,311,0,700,0,1739,0,2188,0,2501,0,1972,0,1710,0,1512,0,1437,0,1486,0,1558,0,1410,0,1396,0,1372,0,1576,0,1195,0,947,0,928,0,812,0,568,0,28440,0
강남로,상행,2,번영교남교차로,학성교남교차로,00분,184,0,152,0,85,0,54,0,82,0,104,0,330,0,502,0,534,0,473,0,406,0,324,0,329,0,314,0,338,0,367,0,423,0,486,0,490,0,446,0,358,0,356,0,360,0,240,0,7734,0
강남로,상행,2,번영교남교차로,학성교남교차로,15분,201,0,133,0,84,0,72,0,72,0,126,0,398,0,488,0,512,0,509,0,382,0,310,0,278,0,381,0,378,0,318,0,362,0,511,0,523,0,421,0,366,0,392,0,380,0,228,0,7824,0
강남로,상행,2,번영교남교차로,학성교남교차로,30분,218,0,97,0,78,0,62,0,95,0,178,0,484,0,579,0,514,0,435,0,340,0,312,0,300,0,379,0,372,0,388,0,424,0,499,0,504,0,359,0,361,0,370,0,344,0,202,0,7894,0
강남로,상행,2,번영교남교차로,학성교남교차로,45분,202,0,100,0,78,0,76,0,125,0,270,0,490,0,529,0,479,0,474,0,356,0,278,0,330,0,408,0,372,0,342,0,468,0,454,0,478,0,373,0,358,0,372,0,280,0,196,0,7891,0
강남로,상행,2,번영교남교차로,학성교남교차로,소계,805,0,482,0,326,0,264,0,374,0,680,0,1702,0,2098,0,2039,0,1892,0,1484,0,1224,0,1236,0,1482,0,1460,0,1415,0,1676,0,1949,0,1996,0,1599,0,1443,0,1490,0,1364,0,866,0,31342,0
